,f1,f2,f3,f4,f5
0,399.48424882177727,-8.574122708058914,4.00068635823267,568.7493611841903,-46.24054523795229
1,399.76671752798,-8.731193323565005,6.216479498156922,971.3547745449056,-54.841008976433336
2,388.3599460754768,-11.118574536039144,4.081200753465542,0.0,-0.007665124335137
3,190.1449378566712,-5.734200954711374,5.974273654152227,408.1379504213841,-0.2892426778858481
4,396.8820546704552,-10.556120509421213,6.90792334956251,0.0029592588388273,-21.082010354017545
5,372.61959197614885,-11.218948622057978,4.952714209892677,1263.4890177909597,-4.814056007637804
6,400.2795091917853,-11.432461194581068,4.076091766305455,4.92864515698766,-8.733245304474046
7,328.7734172805476,-9.200252861633595,4.000140814138773,725.2143502614598,-3.716381246358355
8,352.3315006604166,-8.511285437007073,4.43880068431424,616.60285065478,-31.17125801367059
9,238.90657558424152,-6.496856096915965,5.448657718167223,251.18905862485056,-16.14921015375493
10,223.58561346281653,-6.380192440204211,6.609745903230014,1.7966301422401643e-05,-6.59927077223481
11,280.8892555992747,-9.15248138160088,6.893278909308916,807.6811794812585,-0.8954337862289743
12,387.7588179157388,-11.094462479483152,4.0,4.3109280048537074e-14,-0.0008592590072299
13,344.8330563577828,-7.041151012990864,5.420426673400515,591.955172641653,-52.14810249420863
14,269.49639091034754,-7.827881499732933,5.51510544811886,538.0925523584243,-13.242727820852396
15,358.83732925775934,-9.863569987426018,5.714584402420552,456.2217164904763,-16.94475737371475
16,295.0319612456022,-8.277751328381868,6.980928671888825,0.2085287315861232,-20.519854962325592
17,342.91913251976564,-9.860926689227488,4.967021974683808,13.68832297023029,-13.55791006184555
18,315.6964225589606,-7.010051250110191,4.998945394597992,1282.4477610885722,-43.157223400184776
19,345.27915730150016,-7.242227234754966,4.956498152825258,1303.3814573435775,-51.282120870757886
20,394.659274120586,-12.090265885837866,6.457040939985419,1039.8446309964042,-0.1690957852508759
21,377.8185560639152,-8.131282322748081,4.002277046267064,889.2085934756286,-47.93623978759335
22,198.1174577235084,-5.924078321378444,4.356650656299059,485.5806641735951,-1.1768389752521506
23,251.18077680765907,-6.498383222948409,5.163441839129385,0.0524017252801521,-21.367360049797032
24,220.95110407061065,-5.843037868743991,6.902097510545355,1310.082904986661,-14.993472665268614
25,260.150905010413,-7.228031354259577,4.020765234353581,875.0678234608913,-18.988306923556404
26,252.56242391684813,-6.252461777015663,6.911385178661659,1105.643053711959,-24.95875652728744
27,354.7815737195831,-9.521842904136529,4.82500190440383,1.6084967345974877,-21.022975302876063
28,264.34146978752443,-7.057374888720209,4.475195006955259,555.7639335162934,-21.21723211907152
29,371.2596684606417,-10.647262488516017,5.451143487370349,258.59939028802825,-10.715979699341794
30,209.2301323197751,-6.665398905127132,4.882515733747895,162.18220684202942,-0.4952098782610292
31,247.9491802091699,-7.42847563645477,6.854878981757872,997.3397470523824,-9.492291193385023
32,321.38321661729947,-10.137562961341404,4.482860846154206,738.0308298194966,-4.922831798860307
33,400.1278085580631,-10.19937236830175,4.031724446253163,475.99975626709664,-31.98016500546472
34,350.66215615879145,-9.479006899894674,5.680739672400009,815.040970684288,-23.42728821428178
