,f1,f2
0,-11.801674057742192,0.1693569352211031
1,-11.750515666904452,0.1620701061577963
2,-11.95710245408694,0.1974762078843223
3,-11.984025340331296,0.2014012702351089
4,-12.38584779767524,0.4183539295009634
5,-12.390373128934968,0.4226893563817674
6,-12.463863748124782,0.6097326492777682
7,-12.47724725792863,0.6171218378257022
8,-12.332943001332064,0.3696181925030561
9,-12.34461771851992,0.3779519738159643
10,-12.366108053524986,0.3953724430025259
11,-12.377260242441094,0.4099774006932035
12,-11.949571531620707,0.1938414724761657
13,-12.07121348426724,0.2223178624235493
14,-12.135200625040971,0.2404543578826642
15,-12.146228342199176,0.2433374820550963
16,-12.344213678190654,0.3738167727596413
17,-12.361348958288154,0.3878816206259332
18,-12.367187176767102,0.4017724288511319
19,-12.117134922655294,0.2317419838769239
20,-12.302259388642389,0.3484197856812907
21,-12.414949153788678,0.456751538502385
22,-12.423490155791283,0.4751548739340611
23,-12.435149736196328,0.4904307612288128
24,-11.780723360768336,0.1644889567912559
25,-11.818304021075283,0.1694546003322821
26,-11.84910322984958,0.1733212450375424
27,-12.059282282733946,0.2162344288229721
28,-12.236505360534574,0.2849437949170464
29,-12.244441611400266,0.2895513573310558
30,-12.429785818251458,0.4776922518300129
31,-12.433858523729564,0.4796853633342727
32,-12.441346755229064,0.4935109105370255
33,-12.445533770539456,0.4963346469320254
34,-12.349497207604266,0.3829211848366688
35,-12.366730444174486,0.397905595077387
36,-12.372367987095762,0.4064735527002138
37,-12.378910157818584,0.4162659982516151
38,-12.39373597063524,0.4284305127620894
39,-12.412440534148756,0.4536065453965101
40,-12.023009868876096,0.2100009094060192
41,-12.090560254840655,0.2247596868900346
42,-12.100851797064909,0.2279983038243482
43,-12.160375420213388,0.247085219299658
44,-12.178975183811088,0.2545105489759216
45,-12.18614434581533,0.2578140207077532
46,-12.195470894675816,0.2616020973742415
47,-12.202866381498673,0.2689340834525822
48,-12.219992113096332,0.2743083217880936
49,-12.227947510300954,0.2768129825935063
50,-12.232665293347102,0.2791152027091174
51,-12.251247663920411,0.3164293927610979
52,-12.266235731755977,0.3228322393075116
53,-12.273122578307014,0.3266087048702184
54,-12.278977833010313,0.3329221536437587
55,-12.286418569434712,0.3359740292793216
56,-12.325472619306238,0.3599909786781473
57,-12.331828343139067,0.365181513433317
58,-12.401565196490386,0.4360006759065423
59,-12.416470949996784,0.4588264342069113
60,-12.423182441679812,0.4637587514030393
61,-12.128556773256207,0.2367255937438192
62,-12.150401063550287,0.2458102727885801
63,-12.3948468968065,0.4332738241773731
64,-10.690735593453146,0.0871805096880663
65,-11.175578856447896,0.1132599170046626
66,-10.754399897575627,0.0898430808583416
67,-10.79835444699795,0.091500003045329
68,-9.913449690715176,0.0588263517248053
69,-10.919871089437228,0.0982024195442403
70,-11.11672132978842,0.1093486856085368
71,-10.476481783110046,0.0774394041060957
72,-11.40799224342959,0.1297273526457717
73,-11.49185427806511,0.1370285930797841
74,-10.01274998145679,0.0616424567514559
75,-10.11515944259724,0.0646791167171563
76,-9.73468374457303,0.0542191261688264
77,-10.261963567837174,0.0691229504900522
78,-11.2271683496866,0.1171171299128585
79,-9.610648907867834,0.0512401229833203
80,-11.350390786315575,0.1251984550640832
81,-9.684171547715929,0.0529263295744086
82,-10.311726223041308,0.0713595136555515
83,-10.532722744841683,0.0802270817057907
84,-9.820817007471405,0.0565248548966426
85,-10.181274328100512,0.0664984038582997
86,-9.432266393159884,0.0477487563294956
87,-9.540571648642032,0.04980457603702
88,-9.71062286103214,0.0536849287103131
89,-10.489710985085292,0.0780364004240756
90,-9.633977606559704,0.0518749323007357
91,-9.458310118986743,0.0478551898828465
92,-10.956526421682405,0.1003820944223568
93,-9.962438894452571,0.0599871274823335
94,-10.739691228180794,0.0891158430793761
95,-10.139563230903535,0.0652320597858717
96,-9.507611453033403,0.0490751743357568
97,-10.247353855628436,0.0689237875209752
98,-9.356566166109207,0.0465357631603611
99,-11.877153074426316,0.1790832113368364
100,-10.60075797881881,0.082549095446451
101,-9.660043054531004,0.0524140575565009
102,-12.064232476509751,0.2199768574112243
